eval_loss,eval_rouge1,eval_rouge2,eval_rougeL
2.621976852416992,0.4458,0.1407,0.3621
2.557206153869629,0.4453,0.1462,0.3636
2.501329183578491,0.4528,0.1486,0.3716
2.4758715629577637,0.4496,0.146,0.3672
2.465118646621704,0.4536,0.1493,0.373
2.4428765773773193,0.4523,0.1475,0.3731
2.412222385406494,0.46,0.1532,0.3778
2.4074161052703857,0.4639,0.1545,0.3793
2.4013071060180664,0.4594,0.1539,0.3784
2.3836042881011963,0.4676,0.1587,0.3816
2.3743045330047607,0.4692,0.1601,0.383
2.350519895553589,0.4633,0.1578,0.3828
2.3741631507873535,0.4638,0.1551,0.3831
2.3464741706848145,0.4684,0.158,0.385
2.3605072498321533,0.4657,0.1596,0.3857
2.773463249206543,0.4621,0.1459,0.3705
2.7154014110565186,0.4581,0.1416,0.3685
2.7373416423797607,0.4618,0.1483,0.3781
2.7040903568267822,0.4655,0.1526,0.3775
2.6565539836883545,0.4666,0.1541,0.3798
2.629023790359497,0.463,0.1498,0.3762
2.583982467651367,0.4682,0.152,0.3793
2.607191801071167,0.4674,0.1502,0.3799
2.5998051166534424,0.4673,0.1521,0.3796
2.557823657989502,0.4743,0.1582,0.3812
2.5584213733673096,0.4697,0.1508,0.38
2.5373620986938477,0.4695,0.1478,0.3795
2.5369338989257812,0.4695,0.1517,0.3834
2.531179666519165,0.4697,0.1515,0.3844
2.523052930831909,0.4694,0.1545,0.3829
2.481422185897827,0.4724,0.1561,0.3862
